Time (mm:ss),Voltage
00:01,0.00
00:01,0.00
00:01,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:03,0.00
00:03,0.00
00:03,0.00
00:03,0.63
00:03,0.29
00:04,8.15
00:04,0.00
00:04,9.08
00:04,0.00
00:04,0.00
00:05,12.89
00:05,15.84
00:05,0.00
00:05,0.00
00:05,8.81
00:06,0.00
00:06,0.00
00:06,21.56
00:06,0.00
00:06,18.04
00:07,19.85
00:07,24.98
00:07,19.87
00:07,0.00
00:07,0.00
00:08,4.42
00:08,0.27
00:08,0.00
00:08,24.98
00:08,19.97
00:09,0.00
00:09,0.00
00:09,0.00
00:09,0.00
00:09,24.98
00:10,0.00
00:10,8.20
00:10,1.83
00:10,0.00
00:10,0.00
00:11,24.98
00:11,24.98
00:11,0.00
00:11,0.00
00:11,13.60
00:12,0.00
00:12,24.98
00:12,0.00
00:12,24.98
00:12,0.00
00:13,0.00
00:13,0.00
00:13,11.67
00:13,9.23
00:13,8.45
00:14,12.50
00:14,0.00
00:14,4.10
00:14,0.49
00:14,0.00
00:15,0.00
00:15,0.00
00:15,0.00
00:15,0.00
00:15,0.00
00:16,0.00
00:16,0.00
00:16,0.00
00:16,0.00
00:16,0.00
00:17,0.00
00:17,0.00
00:17,0.00
00:17,0.00
00:17,0.00
00:18,0.00
00:18,0.00
00:18,0.00
00:18,0.00
00:18,0.00
00:19,0.00
00:19,0.00
00:19,0.00
00:19,0.00
00:19,0.00
00:20,0.00
00:20,0.00
00:20,0.00
00:20,0.00
00:20,0.00
