Time (mm:ss),Voltage
00:01,0.05
00:01,0.00
00:01,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.02
00:02,0.00
00:03,2.27
00:03,5.79
00:03,7.15
00:03,7.03
00:03,6.93
00:04,6.88
00:04,6.79
00:04,6.71
00:04,6.81
00:04,7.52
00:05,7.45
00:05,7.37
00:05,7.30
00:05,7.25
00:05,7.15
00:06,9.25
00:06,10.86
00:06,10.69
00:06,10.57
00:06,10.47
00:07,10.35
00:07,10.25
00:07,10.18
00:07,10.08
00:07,9.99
00:08,9.89
00:08,9.81
00:08,10.28
00:08,10.21
00:08,10.11
00:09,10.01
00:09,9.96
00:09,9.89
00:09,9.77
00:09,9.72
00:10,9.62
00:10,9.55
00:10,9.50
00:10,9.42
00:10,9.33
00:11,9.28
00:11,9.20
00:11,9.11
00:11,9.06
00:11,9.01
00:12,8.94
00:12,8.89
00:12,8.79
00:12,8.89
00:12,8.81
00:13,8.72
00:13,8.69
00:13,8.62
00:13,8.54
00:13,8.47
00:14,8.40
00:14,8.33
00:14,8.28
00:14,8.25
00:14,8.18
00:15,11.50
00:15,11.96
00:15,11.84
00:15,11.69
00:15,11.60
00:16,11.45
00:16,11.38
00:16,11.28
00:16,11.18
00:16,11.08
00:17,10.99
00:17,10.89
00:17,10.82
00:17,10.69
00:17,10.64
00:18,10.57
00:18,10.50
00:18,10.40
00:18,10.33
00:18,10.25
00:19,10.18
00:19,10.11
00:19,9.99
00:19,9.96
00:19,9.84
00:20,9.81
00:20,9.69
00:20,9.64
00:20,9.55
00:20,9.52
00:21,9.45
00:21,9.38
00:21,9.30
00:21,9.20
00:21,9.16
00:22,9.11
00:22,9.03
00:22,8.96
00:22,8.91
00:22,8.84
00:23,8.79
00:23,8.69
00:23,8.64
00:23,8.57
00:23,8.52
00:24,8.47
00:24,8.40
00:24,8.35
00:24,8.28
00:24,8.18
00:25,8.18
00:25,8.08
00:25,8.06
00:25,7.98
00:25,7.91
00:26,7.86
00:26,7.81
00:26,7.76
00:26,7.86
00:26,7.79
00:27,7.71
00:27,7.64
00:27,7.64
00:27,7.57
00:27,7.52
00:28,7.47
00:28,7.40
00:28,7.35
00:28,7.30
00:28,7.25
00:29,7.18
00:29,7.15
00:29,7.08
00:29,7.06
00:29,6.98
00:30,6.93
00:30,6.88
00:30,6.81
00:30,6.79
00:30,6.71
00:31,6.69
00:31,6.62
00:31,6.62
00:31,6.52
00:31,6.49
00:32,6.45
00:32,6.40
00:32,6.37
00:32,6.32
00:32,6.27
00:33,6.20
00:33,6.18
00:33,6.13
00:33,6.08
00:33,6.05
00:34,5.98
00:34,5.93
00:34,5.91
00:34,5.88
00:34,5.81
00:35,5.79
00:35,5.74
00:35,5.69
00:35,5.64
00:35,5.62
00:36,5.57
00:36,5.52
00:36,5.49
00:36,5.44
00:36,5.42
00:37,5.37
00:37,5.30
00:37,5.30
00:37,5.27
00:37,5.22
00:38,5.18
00:38,5.10
00:38,5.10
00:38,5.05
00:38,5.03
00:39,5.00
00:39,4.98
00:39,4.93
00:39,4.88
00:39,4.86
00:40,4.83
00:40,4.79
00:40,4.74
00:40,4.74
00:40,4.69
00:41,4.64
00:41,4.61
00:41,4.59
00:41,4.52
00:41,4.47
00:42,4.47
00:42,4.44
00:42,4.39
00:42,4.37
00:42,4.35
00:43,4.32
00:43,4.27
00:43,4.25
00:43,4.25
00:43,4.17
00:44,4.15
00:44,4.15
00:44,4.10
00:44,4.08
00:44,4.05
00:45,3.98
00:45,3.98
00:45,3.96
00:45,3.93
00:45,3.93
00:46,3.83
00:46,3.83
00:46,3.78
00:46,3.78
00:46,3.76
00:47,3.74
00:47,3.71
00:47,3.69
00:47,3.64
00:47,3.61
00:48,3.61
00:48,3.56
00:48,3.56
00:48,3.52
00:48,3.52
00:49,3.47
00:49,3.47
00:49,3.42
00:49,3.42
00:49,3.37
00:50,3.34
00:50,3.32
00:50,3.30
00:50,3.30
00:50,3.22
00:51,3.25
00:51,3.20
00:51,3.20
00:51,3.15
00:51,3.15
00:52,3.13
00:52,3.10
00:52,3.08
00:52,3.05
00:52,3.00
00:53,2.95
00:53,2.98
