Time (mm:ss),Voltage
00:01,0.00
00:01,0.00
00:01,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:03,0.00
00:03,0.00
00:03,0.00
00:03,0.00
00:03,0.00
00:04,0.00
00:04,0.00
00:04,0.00
00:04,0.00
00:04,0.00
00:05,0.00
00:05,0.00
00:05,0.00
00:05,0.00
00:05,0.00
00:06,0.00
00:06,0.00
00:06,0.00
00:06,0.00
00:06,0.00
00:07,4.35
00:07,4.93
00:07,4.96
00:07,4.96
00:07,4.96
00:08,4.96
00:08,4.96
00:08,4.96
00:08,4.96
00:08,4.96
00:09,4.96
00:09,4.96
00:09,4.96
00:09,4.93
00:09,4.96
00:10,4.93
00:10,4.96
00:10,4.96
00:10,4.96
00:10,4.96
00:11,4.96
00:11,4.93
00:11,4.96
00:11,4.96
00:11,4.86
00:12,4.96
00:12,4.96
00:12,4.93
00:12,4.96
00:12,4.96
00:13,4.96
00:13,4.96
00:13,4.98
00:13,4.96
00:13,4.93
00:14,4.96
00:14,4.96
00:14,4.96
00:14,4.96
00:14,4.96
00:15,4.96
00:15,4.96
00:15,4.96
00:15,4.96
00:15,4.96
00:16,4.93
00:16,4.96
00:16,4.96
00:16,4.96
00:16,4.96
00:17,4.96
00:17,4.96
00:17,4.96
00:17,4.96
00:17,4.93
00:18,4.93
00:18,4.96
00:18,4.96
00:18,4.96
00:18,4.96
00:19,4.96
00:19,4.96
00:19,4.98
00:19,4.96
00:19,4.96
00:20,4.93
00:20,4.96
00:20,4.98
00:20,4.96
00:20,4.93
00:21,4.96
00:21,4.96
00:21,4.83
00:21,4.96
00:21,4.98
00:22,4.96
00:22,4.93
00:22,4.96
00:22,4.96
00:22,4.96
00:23,4.96
00:23,4.96
00:23,4.96
00:23,4.96
00:23,4.96
00:24,4.96
00:24,4.96
00:24,4.93
00:24,4.93
00:24,4.96
00:25,4.96
00:25,4.96
00:25,4.93
00:25,4.96
00:25,4.96
00:26,4.96
00:26,4.96
00:26,4.96
00:26,4.96
00:26,4.96
00:27,4.93
00:27,4.96
00:27,4.96
00:27,4.96
00:27,4.93
00:28,4.96
00:28,4.96
00:28,4.96
00:28,4.96
00:28,4.71
00:29,4.47
00:29,4.22
00:29,4.03
00:29,3.78
00:29,3.59
00:30,3.39
00:30,3.20
00:30,3.05
00:30,2.93
00:30,2.73
00:31,2.54
00:31,2.37
00:31,2.22
00:31,2.08
00:31,1.95
00:32,1.83
00:32,1.76
00:32,1.66
00:32,1.54
00:32,1.46
00:33,1.34
00:33,1.29
00:33,1.22
00:33,1.17
00:33,1.10
00:34,1.03
00:34,0.95
00:34,0.93
00:34,0.85
00:34,0.81
00:35,0.76
00:35,0.73
00:35,0.68
00:35,0.66
00:35,0.63
00:36,0.56
