Time (mm:ss),Voltage
00:01,0.00
00:01,0.00
00:01,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.00
00:02,0.02
00:03,0.00
00:03,0.00
00:03,0.00
00:03,4.86
00:03,0.00
00:04,5.42
00:04,10.74
00:04,0.00
00:04,4.98
00:04,0.00
00:05,10.72
00:05,0.00
00:05,0.00
00:05,0.00
00:05,9.16
00:06,14.01
00:06,0.00
00:06,0.00
00:06,14.99
00:06,0.00
00:07,12.94
00:07,0.00
00:07,0.00
00:07,11.82
00:07,0.00
00:08,7.93
00:08,0.00
00:08,0.00
00:08,13.16
00:08,9.30
00:09,7.18
00:09,12.43
00:09,1.00
00:09,0.49
00:09,0.00
00:10,10.79
00:10,15.94
00:10,2.03
00:10,7.15
00:10,0.00
00:11,0.00
00:11,0.00
00:11,0.00
00:11,0.00
00:11,0.00
00:12,15.63
00:12,0.00
00:12,0.00
00:12,13.57
00:12,0.00
00:13,13.43
00:13,0.00
00:13,0.00
00:13,8.06
00:13,0.00
00:14,5.18
00:14,12.45
00:14,0.00
00:14,0.00
00:14,0.00
00:15,0.00
00:15,15.01
00:15,0.00
00:15,13.79
00:15,11.16
00:16,13.55
00:16,0.00
00:16,11.55
00:16,0.00
00:16,12.72
00:17,0.00
00:17,0.00
00:17,8.45
00:17,2.29
00:17,0.00
00:18,8.30
00:18,13.31
00:18,2.15
00:18,0.00
00:18,0.00
00:19,12.48
00:19,0.00
00:19,0.00
00:19,0.00
00:19,0.00
00:20,0.66
00:20,0.00
00:20,0.00
00:20,0.00
00:20,10.96
00:21,11.01
00:21,0.00
00:21,0.00
00:21,13.31
00:21,0.00
00:22,0.00
00:22,0.00
00:22,2.39
00:22,0.00
00:22,14.36
00:23,0.00
00:23,9.64
00:23,0.00
00:23,4.25
00:23,0.00
00:24,0.00
00:24,0.00
00:24,0.00
00:24,0.00
00:24,16.14
00:25,0.00
00:25,0.00
00:25,15.06
00:25,0.00
00:25,7.98
00:26,0.00
00:26,0.00
00:26,14.99
00:26,12.50
00:26,0.00
00:27,0.00
00:27,12.84
00:27,0.00
00:27,7.23
00:27,0.83
00:28,0.00
00:28,0.00
00:28,0.00
00:28,0.00
00:28,2.44
00:29,8.28
00:29,0.00
00:29,11.50
00:29,10.99
00:29,0.00
00:30,4.00
00:30,9.79
00:30,9.79
00:30,6.20
00:30,0.00
00:31,11.08
00:31,9.01
00:31,1.44
00:31,0.00
00:31,0.59
00:32,2.69
00:32,1.81
00:32,0.00
00:32,0.00
00:32,13.38
00:33,3.86
00:33,7.52
00:33,11.91
00:33,12.11
00:33,10.11
00:34,14.53
00:34,0.00
00:34,11.25
00:34,0.00
00:34,11.28
00:35,0.00
00:35,0.05
00:35,0.00
00:35,0.29
00:35,3.81
00:36,5.74
00:36,0.00
00:36,0.00
00:36,12.77
00:36,9.57
00:37,0.00
00:37,14.26
00:37,11.50
00:37,14.18
00:37,13.82
00:38,2.32
00:38,0.00
00:38,15.09
00:38,11.08
00:38,0.00
00:39,0.00
00:39,0.00
00:39,7.03
00:39,0.00
00:39,13.92
00:40,8.52
00:40,0.68
00:40,2.37
00:40,0.00
00:40,0.00
00:41,4.10
00:41,10.74
00:41,14.70
00:41,0.00
00:41,16.26
00:42,4.10
00:42,0.00
00:42,0.00
00:42,2.73
00:42,14.62
00:43,0.00
00:43,0.00
00:43,0.00
00:43,13.43
00:43,0.00
00:44,0.00
00:44,0.00
00:44,1.00
00:44,0.00
00:44,0.00
00:45,0.00
00:45,15.16
00:45,0.00
00:45,0.00
00:45,15.94
00:46,0.00
00:46,15.60
00:46,13.01
00:46,0.00
00:46,0.00
00:47,0.00
00:47,3.54
00:47,0.00
00:47,8.96
00:47,11.33
00:48,14.23
00:48,6.18
00:48,0.00
00:48,0.00
00:48,13.96
00:49,9.45
00:49,10.86
00:49,0.00
00:49,1.88
00:49,13.70
00:50,8.54
00:50,17.53
00:50,0.00
00:50,0.32
00:50,3.98
00:51,13.04
00:51,14.94
00:51,19.29
00:51,12.45
00:51,3.96
00:52,4.08
00:52,0.00
00:52,19.46
00:52,8.64
00:52,0.00
00:53,0.00
00:53,0.00
00:53,2.64
00:53,0.00
00:53,2.69
00:54,4.44
00:54,0.00
00:54,0.00
00:54,0.00
00:54,11.30
00:55,2.08
00:55,0.00
00:55,0.00
00:55,0.00
00:55,13.67
00:56,0.00
00:56,0.00
00:56,12.52
00:56,4.96
00:56,0.00
00:57,8.18
00:57,6.05
00:57,5.59
00:57,0.00
00:57,2.00
00:58,6.49
00:58,0.00
00:58,0.00
00:58,0.00
00:58,0.00
00:59,0.00
00:59,0.98
00:59,1.81
00:59,4.42
00:59,6.69
01:00,0.00
01:00,7.20
01:00,2.25
01:00,0.00
01:00,0.17
01:01,0.00
01:01,13.53
01:01,0.00
01:01,13.35
01:01,0.00
01:02,0.00
01:02,0.00
01:02,14.70
01:02,0.00
01:02,3.66
01:03,0.00
01:03,4.35
01:03,0.00
01:03,0.00
01:03,13.87
01:04,3.76
01:04,0.00
01:04,14.89
01:04,0.00
01:04,0.00
01:05,0.00
01:05,0.00
01:05,12.82
01:05,0.00
01:05,15.14
01:06,8.13
01:06,11.57
01:06,0.00
01:06,0.00
01:06,0.00
01:07,0.51
01:07,10.99
01:07,0.00
01:07,0.00
01:07,0.00
01:08,3.88
01:08,0.00
01:08,12.82
01:08,6.01
01:08,16.33
01:09,0.00
01:09,0.00
01:09,0.00
01:09,0.00
01:09,0.00
01:10,10.11
01:10,0.00
01:10,0.00
01:10,16.99
01:10,7.32
01:11,0.00
01:11,15.70
01:11,13.62
01:11,0.00
01:11,5.05
01:12,17.63
01:12,0.00
01:12,5.10
01:12,0.00
01:12,11.69
01:13,2.76
01:13,9.40
01:13,0.00
01:13,12.57
01:14,14.26
01:14,4.96
01:14,4.61
01:14,7.81
01:14,0.00
01:15,13.06
01:15,6.54
01:15,0.00
01:15,4.15
01:15,0.00
01:16,0.00
01:16,17.41
01:16,0.00
01:16,8.84
01:16,0.00
01:17,0.00
01:17,15.33
01:17,13.04
01:17,0.00
01:17,0.00
01:18,0.00
01:18,3.64
01:18,0.29
01:18,9.18
01:18,8.03
01:19,0.00
01:19,0.00
01:19,0.00
01:19,0.00
01:19,0.00
01:20,0.44
01:20,0.00
01:20,9.16
01:20,2.22
01:20,5.49
01:21,0.00
01:21,16.41
01:21,18.68
01:21,0.00
01:21,0.00
01:22,0.00
01:22,0.00
01:22,15.72
01:22,5.40
01:22,0.00
01:23,13.72
01:23,0.00
01:23,0.00
01:23,12.23
01:23,0.00
01:24,0.00
01:24,0.00
01:24,0.00
01:24,0.00
01:24,0.12
01:25,0.00
01:25,0.00
01:25,0.00
01:25,0.00
01:25,0.00
01:26,0.00
01:26,0.00
01:26,0.00
01:26,0.00
01:26,0.00
01:27,0.00
01:27,0.00
01:27,0.00
01:27,0.00
01:27,0.00
01:28,0.00
