['Tc:19.1', 'Turb:785', 'Time:0d0h3m47']
Time: 0d0h3m47, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m47']
Time: 0d0h3m47, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m48']
Time: 0d0h3m48, Temp: 19.1, Turbidity: 785
[' Turb:785', 'Time:0d0h3m46']
['Tc:19.1', 'Turb:785', 'Time:0d0h3m47']
Time: 0d0h3m47, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m47']
Time: 0d0h3m47, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m48']
Time: 0d0h3m48, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m50']
Time: 0d0h3m50, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m51']
Time: 0d0h3m51, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m51']
Time: 0d0h3m51, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m52']
Time: 0d0h3m52, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m52']
Time: 0d0h3m52, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h3m53']
Time: 0d0h3m53, Temp: 19.0, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h3m53']
Time: 0d0h3m53, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m54']
Time: 0d0h3m54, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m54']
Time: 0d0h3m54, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m55']
Time: 0d0h3m55, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m56']
Time: 0d0h3m56, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m56']
Time: 0d0h3m56, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m57']
Time: 0d0h3m57, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m57']
Time: 0d0h3m57, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h3m58']
Time: 0d0h3m58, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m58']
Time: 0d0h3m58, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h3m59']
Time: 0d0h3m59, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h3m59']
Time: 0d0h3m59, Temp: 19.0, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m0s']
Time: 0d0h4m0s, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m1s']
Time: 0d0h4m1s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m1s']
Time: 0d0h4m1s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m2s']
Time: 0d0h4m2s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m2s']
Time: 0d0h4m2s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m3s']
Time: 0d0h4m3s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m3s']
Time: 0d0h4m3s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m4s']
Time: 0d0h4m4s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m4s']
Time: 0d0h4m4s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m5s']
Time: 0d0h4m5s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m5s']
Time: 0d0h4m5s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m6s']
Time: 0d0h4m6s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m7s']
Time: 0d0h4m7s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m7s']
Time: 0d0h4m7s, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m8s']
Time: 0d0h4m8s, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m8s']
Time: 0d0h4m8s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m9s']
Time: 0d0h4m9s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m9s']
Time: 0d0h4m9s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m10']
Time: 0d0h4m10, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h4m10']
Time: 0d0h4m10, Temp: 19.0, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m11']
Time: 0d0h4m11, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m12']
Time: 0d0h4m12, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m12']
Time: 0d0h4m12, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h4m13']
