Time (ms), Input Voltage
481, 11.91
990, 11.89
1503, 11.89
2017, 11.91
2530, 11.89
3043, 11.89
3556, 11.89
4069, 11.89
4582, 11.91
5095, 11.91
5608, 11.89
6121, 11.89
6634, 11.89
7147, 11.89
7660, 11.89
8172, 11.89
8686, 11.89
9199, 11.89
9711, 11.89
10224, 11.89
10737, 11.89
11250, 11.91
11763, 11.89
12276, 11.89
12789, 11.89
13302, 11.91
13815, 11.89
14328, 11.89
14841, 11.89
15355, 11.89
15868, 11.89
16381, 11.89
16894, 11.89
17408, 11.89
17921, 11.87
18434, 11.89
18947, 11.89
19463, 11.89
19976, 11.89
20489, 11.89
21003, 11.89
21516, 11.89
22029, 11.89
22542, 11.89
23055, 11.89
23568, 11.89
24081, 11.89
24594, 11.89
25108, 11.89
25621, 11.91
26134, 11.89
26647, 11.89
27160, 11.89
27673, 11.91
28186, 11.89
28699, 11.91
29213, 11.89
29726, 11.89
